x,y,z,seed,sum,runtime
0.0,5.0,15.0,0.0,20.0,3.5400036722421646e-05
0.0,5.0,15.0,1.0,20.0,1.2400094419717789e-05
0.0,5.0,15.0,2.0,20.0,1.4399993233382702e-05
0.0,5.0,15.0,3.0,20.0,1.4699995517730713e-05
0.0,5.0,15.0,4.0,20.0,4.67000063508749e-05
0.0,5.0,15.0,5.0,20.0,1.5900004655122757e-05
0.0,5.0,15.0,6.0,20.0,1.109996810555458e-05
0.0,5.0,15.0,7.0,20.0,1.379998866468668e-05
0.0,5.0,15.0,8.0,20.0,1.4199991710484028e-05
0.0,5.0,15.0,9.0,20.0,1.4899997040629387e-05
0.0,5.0,20.0,0.0,25.0,1.2499978765845299e-05
0.0,5.0,20.0,1.0,25.0,1.7900019884109497e-05
0.0,5.0,20.0,2.0,25.0,1.4399993233382702e-05
0.0,5.0,20.0,3.0,25.0,1.2599979527294636e-05
0.0,5.0,20.0,4.0,25.0,1.0699965059757233e-05
0.0,5.0,20.0,5.0,25.0,1.4399993233382702e-05
0.0,5.0,20.0,6.0,25.0,2.0799925550818443e-05
0.0,5.0,20.0,7.0,25.0,1.4299992471933365e-05
0.0,5.0,20.0,8.0,25.0,1.1499971151351929e-05
0.0,5.0,20.0,9.0,25.0,9.899958968162537e-06
0.0,5.0,25.0,0.0,30.0,1.3200100511312485e-05
0.0,5.0,25.0,1.0,30.0,1.5400000847876072e-05
0.0,5.0,25.0,2.0,30.0,1.4399993233382702e-05
0.0,5.0,25.0,3.0,30.0,1.0300078429281712e-05
0.0,5.0,25.0,4.0,30.0,1.0100076906383038e-05
0.0,5.0,25.0,5.0,30.0,1.1800089851021767e-05
0.0,5.0,25.0,6.0,30.0,1.4299992471933365e-05
0.0,5.0,25.0,7.0,30.0,1.5700003132224083e-05
0.0,5.0,25.0,8.0,30.0,1.2499978765845299e-05
0.0,5.0,25.0,9.0,30.0,1.0999967344105244e-05
0.0,10.0,15.0,0.0,25.0,8.999952115118504e-06
0.0,10.0,15.0,1.0,25.0,1.1900090612471104e-05
0.0,10.0,15.0,2.0,25.0,2.4099950678646564e-05
0.0,10.0,15.0,3.0,25.0,1.3599987141788006e-05
0.0,10.0,15.0,4.0,25.0,1.1100084520876408e-05
0.0,10.0,15.0,5.0,25.0,1.1499971151351929e-05
0.0,10.0,15.0,6.0,25.0,1.3399985618889332e-05
0.0,10.0,15.0,7.0,25.0,1.6000005416572094e-05
0.0,10.0,15.0,8.0,25.0,1.5400000847876072e-05
0.0,10.0,15.0,9.0,25.0,1.2599979527294636e-05
0.0,10.0,20.0,0.0,30.0,1.4299992471933365e-05
0.0,10.0,20.0,1.0,30.0,1.5300000086426735e-05
0.0,10.0,20.0,2.0,30.0,1.6200006939470768e-05
0.0,10.0,20.0,3.0,30.0,2.9799994081258774e-05
0.0,10.0,20.0,4.0,30.0,1.580000389367342e-05
0.0,10.0,20.0,5.0,30.0,2.0300038158893585e-05
0.0,10.0,20.0,6.0,30.0,1.6000005416572094e-05
0.0,10.0,20.0,7.0,30.0,2.1999934688210487e-05
0.0,10.0,20.0,8.0,30.0,1.4999997802078724e-05
0.0,10.0,20.0,9.0,30.0,1.6200006939470768e-05
0.0,10.0,25.0,0.0,35.0,1.2899981811642647e-05
0.0,10.0,25.0,1.0,35.0,1.9600032828748226e-05
0.0,10.0,25.0,2.0,35.0,1.2299977242946625e-05
0.0,10.0,25.0,3.0,35.0,9.500072337687016e-06
0.0,10.0,25.0,4.0,35.0,1.0699965059757233e-05
