x,y,z,seed,sum,runtime
0.0,5.0,15.0,0.0,20.0,4.73000000056345e-05
0.0,5.0,15.0,1.0,20.0,2.1600000764010474e-05
0.0,5.0,15.0,2.0,20.0,2.4100001610349864e-05
0.0,5.0,15.0,3.0,20.0,2.380000296398066e-05
0.0,5.0,15.0,4.0,20.0,2.4199998733820394e-05
0.0,5.0,15.0,5.0,20.0,2.5400000595254824e-05
0.0,5.0,15.0,6.0,20.0,2.300000051036477e-05
0.0,5.0,15.0,7.0,20.0,2.2700001863995567e-05
0.0,5.0,15.0,8.0,20.0,2.170000152545981e-05
0.0,5.0,15.0,9.0,20.0,2.5800000003073364e-05
0.0,5.0,20.0,0.0,25.0,2.5600002118153498e-05
0.0,5.0,20.0,1.0,25.0,2.350000067963265e-05
0.0,5.0,20.0,2.0,25.0,2.390000008745119e-05
0.0,5.0,20.0,3.0,25.0,1.9500002963468432e-05
0.0,5.0,20.0,4.0,25.0,2.2100000933278352e-05
0.0,5.0,20.0,5.0,25.0,2.229999881819822e-05
0.0,5.0,20.0,6.0,25.0,2.3399999918183312e-05
0.0,5.0,20.0,7.0,25.0,2.1699997887481004e-05
0.0,5.0,20.0,8.0,25.0,2.3699998564552516e-05
0.0,5.0,20.0,9.0,25.0,2.049999966402538e-05
0.0,5.0,25.0,0.0,30.0,2.2100000933278352e-05
0.0,5.0,25.0,1.0,30.0,2.1299998479662463e-05
0.0,5.0,25.0,2.0,30.0,2.2500000341096893e-05
0.0,5.0,25.0,3.0,30.0,2.3199998395284638e-05
0.0,5.0,25.0,4.0,30.0,2.2000000171829015e-05
0.0,5.0,25.0,5.0,30.0,2.2899999748915434e-05
0.0,5.0,25.0,6.0,30.0,2.1400002879090607e-05
0.0,5.0,25.0,7.0,30.0,2.229999881819822e-05
0.0,5.0,25.0,8.0,30.0,2.2899999748915434e-05
0.0,5.0,25.0,9.0,30.0,2.2000000171829015e-05
0.0,10.0,15.0,0.0,25.0,2.1899999410379678e-05
0.0,10.0,15.0,1.0,25.0,2.229999881819822e-05
0.0,10.0,15.0,2.0,25.0,2.1800002286909148e-05
0.0,10.0,15.0,3.0,25.0,2.2500000341096893e-05
0.0,10.0,15.0,4.0,25.0,2.1500000002561137e-05
0.0,10.0,15.0,5.0,25.0,2.2000000171829015e-05
0.0,10.0,15.0,6.0,25.0,2.2799998987466097e-05
0.0,10.0,15.0,7.0,25.0,2.2099997295299545e-05
0.0,10.0,15.0,8.0,25.0,1.9899998733308166e-05
0.0,10.0,15.0,9.0,25.0,2.099999983329326e-05
0.0,10.0,20.0,0.0,30.0,2.2100000933278352e-05
0.0,10.0,20.0,1.0,30.0,2.1500000002561137e-05
0.0,10.0,20.0,2.0,30.0,2.260000110254623e-05
0.0,10.0,20.0,3.0,30.0,2.179999864893034e-05
0.0,10.0,20.0,4.0,30.0,2.1299998479662463e-05
0.0,10.0,20.0,5.0,30.0,2.269999822601676e-05
0.0,10.0,20.0,6.0,30.0,2.0600000425474718e-05
0.0,10.0,20.0,7.0,30.0,2.1500000002561137e-05
0.0,10.0,20.0,8.0,30.0,2.2099997295299545e-05
0.0,10.0,20.0,9.0,30.0,2.2799998987466097e-05
0.0,10.0,25.0,0.0,35.0,2.229999881819822e-05
0.0,10.0,25.0,1.0,35.0,2.2500000341096893e-05
0.0,10.0,25.0,2.0,35.0,2.179999864893034e-05
0.0,10.0,25.0,3.0,35.0,2.260000110254623e-05
0.0,10.0,25.0,4.0,35.0,2.2899999748915434e-05
0.0,10.0,25.0,5.0,35.0,2.269999822601676e-05
0.0,10.0,25.0,6.0,35.0,2.2799998987466097e-05
0.0,10.0,25.0,7.0,35.0,6.750000102329068e-05
0.0,10.0,25.0,8.0,35.0,2.399999721092172e-05
0.0,10.0,25.0,9.0,35.0,2.1500000002561137e-05
0.0,15.0,15.0,0.0,30.0,2.300000051036477e-05
0.0,15.0,15.0,1.0,30.0,2.1600000764010474e-05
0.0,15.0,15.0,2.0,30.0,2.2399999579647556e-05
0.0,15.0,15.0,3.0,30.0,2.3600001441081986e-05
